,last_price,adv_usd,n_days,missing,eligible,name,sector,tier
CE,44.720001220703125,84610818.34487915,1255,0.0,True,Celanese,Materials,small
TDC,30.989999771118164,84576811.59667969,1255,0.0,True,Teradata,Information Technology,small
SNEX,76.56999969482422,84556962.7532959,1255,0.0,True,StoneX Group Inc.,Financials,small
LAD,385.4200134277344,84380216.99523926,1255,0.0,True,Lithia Motors,Consumer Discretionary,mid
IDCC,304.8299865722656,84328210.29663086,1255,0.0,True,InterDigital,Information Technology,mid
MTDR,49.88999938964844,84062498.8079071,1255,0.0,True,Matador Resources,Energy,mid
NEU,850.1599731445312,84049948.42529297,1255,0.0,True,NewMarket Corporation,Materials,mid
LAMR,159.9600067138672,83971211.50817871,1255,0.0,True,Lamar Advertising Company,Real Estate,mid
LEA,130.63999938964844,83937675.17089844,1255,0.0,True,Lear,Consumer Discretionary,mid
VSEC,194.38999938964844,83916748.46191406,1255,0.0,True,VSE Corporation,Industrials,small
VLY,14.289999961853027,83600323.60725403,1255,0.0,True,Valley Bank,Financials,mid
MKTX,162.3000030517578,83344800.0,1255,0.0,True,MarketAxess,Financials,small
MLI,66.41000366210938,83284516.8548584,1255,0.0,True,Mueller Industries,Industrials,mid
COLB,31.270000457763672,83193450.7232666,1255,0.0,True,Columbia Banking System,Financials,mid
CFR,166.33999633789062,83114691.07818604,1255,0.0,True,Frost Bank,Financials,mid
CACC,568.9099731445312,82967857.93457031,1255,0.0,True,Credit Acceptance,Financials,small
PSKY,7.960000038146973,82327639.09244537,1255,0.0,True,Paramount Skydance Corporation,Communication Services,large
MHK,123.0999984741211,81904287.57324219,1255,0.0,True,Mohawk Industries,Consumer Discretionary,small
HR,21.010000228881836,81842150.0,1255,0.0,True,Healthcare Realty Trust,Real Estate,mid
MSGS,393.67999267578125,81354202.12097168,1255,0.0,True,Madison Square Garden Sports Corp.,Communication Services,small
ALV,123.16999816894531,81181439.57519531,1255,0.0,True,Autoliv,Consumer Discretionary,mid
TREX,43.36000061035156,81099482.6385498,1255,0.0,True,Trex,Industrials,mid
AIT,345.2099914550781,80900195.43457031,1255,0.0,True,Applied Industrial Technologies,Industrials,mid
KEX,131.13999938964844,80895453.03344727,1255,0.0,True,Kirby Corporation,Industrials,mid
COCO,65.94000244140625,80812967.41027832,1198,0.0,True,The Vita Coco Company,Consumer Staples,small
ACLS,130.3800048828125,80614481.13861084,1255,0.0,True,"Axcelis Technologies, Inc.",Information Technology,small
LECO,261.30999755859375,80564760.16845703,1255,0.0,True,Lincoln Electric,Industrials,mid
CUBE,41.459999084472656,80390828.29284668,1255,0.0,True,CubeSmart,Real Estate,mid
ARE,51.45000076293945,80220841.1895752,1255,0.0,True,Alexandria Real Estate Equities,Real Estate,large
BYD,85.05999755859375,80168784.79614258,1255,0.0,True,Boyd Gaming,Consumer Discretionary,mid
CORT,114.48999786376953,80024177.34146118,1255,0.0,True,Corcept Therapeutics Incorporated,Health Care,small
ADC,77.80000305175781,79930998.9692688,1255,0.0,True,Agree Realty,Real Estate,mid
URBN,74.18000030517578,79535826.33972168,1255,0.0,True,"Urban Outfitters, Inc.",Consumer Discretionary,small
TMDX,76.51000213623047,79357969.18945312,1255,0.0,True,"TransMedics Group, Inc.",Health Care,small
RGA,236.85000610351562,78652463.3972168,1255,0.0,True,Reinsurance Group of America,Financials,mid
MORN,192.57000732421875,78616530.83496094,1255,0.0,True,"Morningstar, Inc.",Financials,mid
LAZ,42.380001068115234,78421117.18139648,1255,0.0,True,Lazard,Financials,small
VAL,79.19000244140625,78361558.20465088,1255,0.0,True,Valaris,Energy,mid
POST,91.41000366210938,78108445.24536133,1255,0.0,True,Post Holdings,Consumer Staples,mid
EMN,69.94999694824219,78066582.69195557,1255,0.0,True,Eastman Chemical Company,Materials,small
TEX,62.84000015258789,78055716.37115479,1255,0.0,True,Terex,Industrials,mid
RELY,22.770000457763672,78025644.89650726,1218,0.0,True,Remitly,Financials,small
SLAB,217.5,77903826.65863037,1255,0.0,True,Silicon Labs,Information Technology,mid
INGR,99.45999908447266,77828280.33447266,1255,0.0,True,Ingredion,Consumer Staples,mid
PLXS,251.33999633789062,77212007.84301758,1255,0.0,True,Plexus Corp.,Information Technology,small
NPO,313.9200134277344,77084700.0,1255,0.0,True,"EnPro Industries, Inc.",Industrials,small
FRPT,59.540000915527344,76848849.20539856,1255,0.0,True,Freshpet,Consumer Staples,small
AEO,17.18000030517578,76777421.36383057,1255,0.0,True,American Eagle Outfitters,Consumer Discretionary,small
CMC,68.72000122070312,76747156.28204346,1255,0.0,True,Commercial Metals,Materials,mid
PCTY,137.89500427246094,76632166.30096436,1255,0.0,True,Paylocity,Industrials,mid
ESE,315.2900085449219,76522569.84558105,1255,0.0,True,ESCO Technologies Inc.,Industrials,small
REXR,37.77000045776367,76248677.68478394,1255,0.0,True,Rexford Industrial Realty,Real Estate,mid
AGCO,102.16000366210938,76196822.83630371,1255,0.0,True,AGCO,Industrials,mid
WTFC,159.5399932861328,76120600.8605957,1255,0.0,True,Wintrust Financial,Financials,mid
LPX,72.43000030517578,75797904.92477417,1255,0.0,True,Louisiana-Pacific,Industrials,mid
AMH,33.41999816894531,75692011.0364914,1255,0.0,True,American Homes 4 Rent,Real Estate,mid
CHDN,84.30000305175781,75635037.84179688,1255,0.0,True,Churchill Downs Inc.,Consumer Discretionary,mid
HQY,100.61000061035156,75317062.06054688,1255,0.0,True,HealthEquity,Health Care,mid
TXNM,57.91999816894531,75186415.96488953,1255,0.0,True,TXNM Energy,Utilities,mid
NNN,47.52000045776367,74917650.59280396,1255,0.0,True,NNN Reit,Real Estate,mid
PVH,86.66000366210938,74837800.97961426,1255,0.0,True,PVH Corp.,Consumer Discretionary,mid
SEZL,154.75,74212200.0,723,0.0,True,Sezzle,Financials,small
SSB,105.08999633789062,74128627.7709961,1255,0.0,True,South State Bank,Financials,mid
LKQ,22.450000762939453,73736590.42434692,1255,0.0,True,LKQ Corporation,Consumer Discretionary,small
WAL,80.48999786376953,73713750.0,1255,0.0,True,Western Alliance Bancorporation,Financials,mid
BRX,31.510000228881836,73354991.08753204,1255,0.0,True,Brixmor Property Group,Real Estate,mid
DOCS,20.90999984741211,73286441.69311523,1255,0.0,True,Doximity,Health Care,mid
VNOM,44.61000061035156,73267922.30987549,1255,0.0,True,Viper Energy,Energy,mid
BFAM,74.54000091552734,73166143.11523438,1255,0.0,True,Bright Horizons Family Solutions Inc.,Consumer Discretionary,small
ACHC,29.6200008392334,73130232.22389221,1255,0.0,True,Acadia Healthcare,Health Care,small
POWI,60.709999084472656,72989780.17272949,1255,0.0,True,Power Integrations,Information Technology,small
HLNE,88.91000366210938,72472984.46655273,1255,0.0,True,Hamilton Lane,Financials,mid
VVV,38.40999984741211,71593730.56640625,1255,0.0,True,Valvoline,Consumer Discretionary,mid
NOVT,142.5500030517578,71550557.6171875,1255,0.0,True,Novanta,Information Technology,mid
YOU,55.2400016784668,71226846.17500305,1255,0.0,True,"Clear Secure, Inc.",Information Technology,small
TFX,136.7100067138672,71029981.65893555,1255,0.0,True,Teleflex,Health Care,small
IDA,142.91000366210938,70899015.31219482,1255,0.0,True,Idacorp,Utilities,mid
WRBY,26.690000534057617,70890640.33412933,1214,0.0,True,Warby Parker,Consumer Discretionary,small
AN,212.39999389648438,70588644.6472168,1255,0.0,True,AutoNation,Consumer Discretionary,mid
BF-B,28.729999542236328,70524717.35458374,1255,0.0,True,Brown–Forman,Consumer Staples,large
COHU,47.9900016784668,70446138.27323914,1255,0.0,True,"Cohu, Inc.",Information Technology,small
PTGX,136.63999938964844,70270489.6697998,1255,0.0,True,"Protagonist Therapeutics, Inc.",Health Care,small
CRGY,11.470000267028809,70008381.2084198,1165,0.0,True,Crescent Energy Company,Energy,small
NOV,19.43000030517578,69973552.80189514,1255,0.0,True,NOV Inc.,Energy,mid
AWI,174.66000366210938,69860639.91851807,1255,0.0,True,"Armstrong World Industries, Inc.",Industrials,small
PEGA,30.549999237060547,69568224.3106842,1255,0.0,True,Pegasystems,Information Technology,mid
WEN,7.360000133514404,69541769.39535141,1255,0.0,True,The Wendy's Company,Consumer Discretionary,small
ASO,47.45000076293945,69495424.56893921,1255,0.0,True,Academy Sports + Outdoors,Consumer Discretionary,small
KSS,19.139999389648438,68788879.10499573,1255,0.0,True,Kohl's Corp.,Consumer Discretionary,small
PB,74.87000274658203,68761915.52352905,1255,0.0,True,Prosperity Bancshares,Financials,mid
ULS,91.63999938964844,68706243.69659424,577,0.0,True,UL Solutions,Industrials,mid
VIRT,58.72999954223633,68672681.58340454,1255,0.0,True,"Virtu Financial, Inc.",Financials,small
EGP,209.00999450683594,68369877.59094238,1255,0.0,True,EastGroup Properties,Real Estate,mid
ROAD,103.3499984741211,68247350.72937012,1255,0.0,True,"Construction Partners, Inc.",Industrials,small
NVST,27.309999465942383,67990427.15187073,1255,0.0,True,Envista Holdings,Health Care,mid
RHP,133.64999389648438,67774399.6673584,1255,0.0,True,Ryman Hospitality Properties,Real Estate,small
EXLS,33.93000030517578,67765344.37141418,1255,0.0,True,EXL Service,Industrials,mid
MTRN,210.83999633789062,67746361.22436523,1255,0.0,True,Materion Corp.,Materials,small
SIG,92.9000015258789,67697945.35980225,1255,0.0,True,Signet Jewelers,Consumer Discretionary,small
FNF,51.59000015258789,67278360.31608582,1255,0.0,True,Fidelity National Financial,Financials,mid
FCN,159.3800048828125,67239000.0,1255,0.0,True,FTI Consulting,Industrials,mid
VECO,50.0,67107615.30151367,1255,0.0,True,Veeco Instruments Inc.,Information Technology,small
ENVA,254.13999938964844,66991695.36743164,1255,0.0,True,"Enova International, Inc.",Financials,small
WTRG,39.849998474121094,66855721.09222412,1255,0.0,True,Essential Utilities,Utilities,mid
WMG,25.959999084472656,66816423.18096161,1255,0.0,True,Warner Music Group,Communication Services,mid
FR,65.83999633789062,66514410.61935425,1255,0.0,True,First Industrial Realty Trust,Real Estate,mid
LW,52.54999923706055,66443231.46438599,1255,0.0,True,Lamb Weston,Consumer Staples,small
